reward_mode,gamma,row,column,has_key,value,best_action,is_terminal
sparse,0.5,8,2,0,-0.19147480031694397,up,False
sparse,0.5,8,2,1,-0.20164419502942604,up,False
sparse,0.5,8,3,0,-0.1354088619384809,down,False
sparse,0.5,8,3,1,-0.20007097030175716,up,False
sparse,0.5,8,4,0,-0.17257832516677576,left,False
sparse,0.5,8,4,1,-0.1999100314406576,right,False
sparse,0.5,8,5,0,-0.18845923257500058,left,False
sparse,0.5,8,5,1,-0.19975536699524243,right,False
sparse,0.5,8,6,0,-0.19513456771640053,left,False
sparse,0.5,8,6,1,-0.19941970849324347,right,False
sparse,0.5,8,7,0,-0.19785174867619684,left,False
sparse,0.5,8,7,1,-0.19868405383535986,right,False
sparse,0.5,8,8,0,-0.19704234575746155,down,False
sparse,0.5,8,8,1,-0.19709882397848127,right,False
sparse,0.5,8,9,0,-0.1985238844066916,down,False
sparse,0.5,8,9,1,-0.19366349065247312,right,False
sparse,0.5,8,10,0,-0.19932004497851713,down,False
sparse,0.5,8,10,1,-0.18619237195254093,right,False
sparse,0.5,8,11,0,-0.19968739273276778,left,False
sparse,0.5,8,11,1,-0.16997416306847601,right,False
sparse,0.5,8,12,0,-0.19985659074512066,left,False
sparse,0.5,8,12,1,-0.13480446331261392,down,False
sparse,0.5,8,13,0,-0.19993436259336886,left,False
sparse,0.5,8,13,1,-0.06425683180780245,down,False
sparse,0.5,8,14,0,-0.19997004549131628,left,False
sparse,0.5,8,14,1,0.007080692445132897,down,False
sparse,0.5,8,15,0,-0.19998636159525,left,False
sparse,0.5,8,15,1,-0.0769100766845497,down,False
sparse,0.5,8,16,0,-0.19999383048752403,left,False
sparse,0.5,8,16,1,-0.1431544525237709,left,False
sparse,0.5,9,1,0,0.008387493711086935,down,False
sparse,0.5,9,1,1,-0.8241164811322936,up,False
sparse,0.5,9,2,0,1.2612207284971968,down,False
sparse,0.5,9,2,1,-0.2024311328863344,right,False
sparse,0.5,9,3,0,-0.04301523826396356,down,False
sparse,0.5,9,3,1,-0.20498596823258347,right,False
sparse,0.5,9,4,0,-0.18089763817446347,up,False
sparse,0.5,9,4,1,-0.20020703402883794,up,False
sparse,0.5,9,5,0,-0.19430974194148615,up,False
sparse,0.5,9,5,1,-0.19987242236570577,up,False
sparse,0.5,9,6,0,-0.1976198868219904,up,False
sparse,0.5,9,6,1,-0.19919307954572524,right,False
sparse,0.5,9,7,0,-0.19701130769740424,right,False
sparse,0.5,9,7,1,-0.1974965571047438,right,False
sparse,0.5,9,8,0,-0.19305882350726467,down,False
sparse,0.5,9,8,1,-0.19400435125883153,right,False
sparse,0.5,9,9,0,-0.19676441518195195,down,False
sparse,0.5,9,9,1,-0.18664994144418875,right,False
sparse,0.5,9,10,0,-0.1985236933744756,left,False
sparse,0.5,9,10,1,-0.17041371726156718,right,False
sparse,0.5,9,11,0,-0.19933148981356566,left,False
sparse,0.5,9,11,1,-0.13486476854843754,right,False
sparse,0.5,9,12,0,-0.1996991164127146,left,False
sparse,0.5,9,12,1,-0.05773227459789317,down,False
sparse,0.5,9,13,0,-0.1998652386837751,left,False
sparse,0.5,9,13,1,0.10532339537957758,down,False
sparse,0.5,9,14,0,-0.19993987235535898,left,False
sparse,0.5,9,14,1,0.28534759910462204,down,False
sparse,0.5,9,15,0,-0.19997327371000306,left,False
sparse,0.5,9,15,1,0.07473403310553185,down,False
sparse,0.5,9,16,0,-0.19998821739070624,left,False
sparse,0.5,9,16,1,-0.07318911593536284,left,False
sparse,0.5,10,1,0,1.5622686468373,down,False
sparse,0.5,10,1,1,-0.23415067720035754,right,False
sparse,0.5,10,2,0,3.4073806133328595,down,False
sparse,0.5,10,2,1,-0.2070889727507176,down,False
sparse,0.5,10,3,0,1.2324224549856853,left,False
sparse,0.5,10,3,1,-0.2979841435059305,left,False
sparse,0.5,10,4,0,0.3093934228793486,left,False
sparse,0.5,10,4,1,-0.2098129882934576,up,False
sparse,0.5,10,5,0,-0.29601370683148137,right,False
sparse,0.5,10,5,1,-0.29661172000337166,right,False
sparse,0.5,10,6,0,-0.2037438349158877,up,False
sparse,0.5,10,6,1,-0.20446853350682215,up,False
sparse,0.5,10,7,0,-0.1883132006306774,down,False
sparse,0.5,10,7,1,-0.1956046438085542,right,False
sparse,0.5,10,8,0,-0.18342506026573688,down,False
sparse,0.5,10,8,1,-0.18978836813194674,right,False
sparse,0.5,10,9,0,-0.19296313623941352,left,False
sparse,0.5,10,9,1,-0.17602529639043277,right,False
