reward_mode,gamma,lambda,epsilon_schedule,seed,row,column,has_key,q_up,q_down,q_left,q_right,max_q,best_action,is_terminal
sparse,0.9,0.0,exponential,3,2,14,1,-0.6027971045070197,-0.6249289563769183,-0.6180133047618183,-0.6446325516947329,-0.6027971045070197,up,False
sparse,0.9,0.0,exponential,3,2,15,0,-1.6407236909176168,-1.6025293159604863,-1.5674742051756763,-1.7801869047987808,-1.5674742051756763,left,False
sparse,0.9,0.0,exponential,3,2,15,1,-1.3628294918559098,-0.5925379843072716,-0.5940761449482027,-0.5955284739831561,-0.5925379843072716,down,False
sparse,0.9,0.0,exponential,3,2,16,0,-1.933077492418128,-1.9532698510046236,-1.6014964293174034,-2.3439882546489414,-1.6014964293174034,left,False
sparse,0.9,0.0,exponential,3,2,16,1,-0.6814264997329603,-0.6894481869744191,-0.5732881255024869,-1.0279117489870604,-0.5732881255024869,left,False
sparse,0.9,0.0,exponential,3,3,1,0,-1.7704292078489385,-2.489082214843555,-2.5571978251709715,-0.3731514273396317,-0.3731514273396317,right,False
sparse,0.9,0.0,exponential,3,3,1,1,-0.4552379498746942,-0.7165239778837245,-1.0801472677915234,-0.5268034852431297,-0.4552379498746942,up,False
sparse,0.9,0.0,exponential,3,3,2,0,0.08590784535378937,-2.3713785550138136,-1.5871179650706762,-0.9795251342639966,0.08590784535378937,up,False
sparse,0.9,0.0,exponential,3,3,2,1,-0.38468008208596305,-1.643013934853191,-0.7696145509250956,-1.0820076364352227,-0.38468008208596305,up,False
sparse,0.9,0.0,exponential,3,3,3,0,0.4060274543229555,-7.10362930354019,-1.848956598392169,-1.199311101208361,0.4060274543229555,up,False
sparse,0.9,0.0,exponential,3,3,3,1,-0.5607453985820172,-5.387734260640295,-0.7411492848208207,-0.9183813864310674,-0.5607453985820172,up,False
sparse,0.9,0.0,exponential,3,3,4,0,-0.41277618208016587,-1.041114662006,-1.4378541891244465,1.244675731702842,1.244675731702842,right,False
sparse,0.9,0.0,exponential,3,3,4,1,-0.6898593131458393,-1.360507052106608,-0.7698054848348937,-0.9768030300528041,-0.6898593131458393,up,False
